Date,Amount
2022-03-02 10:11,50.0
2022-03-02 10:11,300.0
2022-03-01 19:50,78.0
2022-03-01 18:56,30.0
2022-03-01 18:22,67.0
2022-02-28 11:56,339.15
2022-02-27 15:29,243.0
2022-02-26 20:16,25.0
2022-02-26 17:37,100.0
2022-02-26 16:01,1700.0
2022-02-26 14:07,40.0
2022-02-26 01:39,84.0
2022-02-25 12:08,33.0
2022-02-24 22:32,303.0
2022-02-24 22:21,289.0
2022-02-24 19:15,324.7
2022-02-23 17:35,399.0
2022-02-23 16:06,83.0
2022-02-23 12:38,399.0
2022-02-22 06:33,120.0
2022-02-21 22:15,1300.0
2022-02-21 16:06,138.0
2022-02-21 15:40,336.0
2022-02-21 15:38,201.8
2022-02-20 15:24,200.0
2022-02-19 23:03,111.0
2022-02-19 21:57,250.0
2022-02-19 21:35,1575.0
2022-02-19 20:45,200.0
2022-02-19 20:45,380.0
2022-02-19 08:26,60.0
2022-02-19 06:27,50.0
2022-02-19 06:18,270.0
2022-02-18 23:01,348.0
2022-02-17 13:11,80.0
2022-02-16 16:57,165.0
2022-02-16 16:57,475.0
2022-02-13 21:54,100.0
2022-02-12 21:20,491.0
2022-02-12 16:04,70.0
2022-02-12 14:48,80.0
2022-02-11 22:41,373.0
2022-02-10 20:15,641.0
2022-02-08 09:18,2099.0
2022-02-07 07:08,214.0
2022-02-06 18:32,125.0
2022-02-06 17:53,150.0
2022-02-06 17:52,1000.0
2022-02-06 16:40,1500.0
2022-02-04 20:28,80.0
2022-02-03 14:53,50.0
2022-02-03 08:59,150.0
2022-02-02 20:15,120.0
2022-01-31 08:44,50.0
2022-01-31 08:27,200.0
2022-01-31 08:26,153.0
2022-01-30 19:17,155.0
2022-01-30 19:01,120.0
2022-01-30 12:28,105.0
2022-01-29 21:56,44.0
2022-01-29 14:44,100.0
2022-01-28 21:58,10.0
2022-01-28 14:23,138.0
2022-01-27 21:25,43.0
2022-01-27 13:41,300.0
2022-01-27 13:41,100.0
2022-01-27 13:39,279.0
2022-01-26 17:45,115.0
2022-01-26 16:52,25.0
2022-01-25 13:35,259.0
2022-01-25 10:23,18.0
2022-01-25 09:20,325.0
2022-01-24 20:17,40.0
2022-01-24 14:08,133.0
2022-01-23 21:45,40.0
2022-01-23 21:41,465.0
2022-01-23 21:29,300.0
2022-01-23 21:29,302.0
2022-01-23 21:27,176.0
2022-01-23 21:27,200.0
2022-01-21 14:22,188.0
2022-01-21 11:47,37.0
2022-01-19 14:27,171.0
